Time (s),Humidity (%)
1.319225788,14.42773
2.318995476,13.44043
3.318765163,13.26855
4.318535328,12.97168
5.318305016,14.65039
6.318074703,13.51465
7.317845345,12.97168
8.317615032,14.36621
9.317385197,14.00879
10.317154884,14.87207
11.319399834,13.55273
12.319169998,13.77441
13.318940640,12.00977
14.318710804,13.49023
15.318480969,13.45313
16.318251610,13.47852
17.318021774,12.24414
18.317792416,14.19434
19.317562580,12.99707
20.317333698,12.41699
21.317103863,13.00977
22.319349289,12.88574
23.319119930,12.47852
24.318890095,13.78711
25.318660736,12.86035
26.318430901,13.60156
27.318201065,12.82422
28.317971706,12.51563
29.317741394,12.87305
30.317511082,11.76172
31.317281246,13.35449
32.317050934,12.86133
33.319295406,13.24414
34.319064617,14.0957
35.318834305,13.47852
36.318603993,13.12012
37.318373203,12.09473
38.318142891,12.87207
39.317911625,12.74902
40.317680836,12.09473
41.317450047,13.85938
42.317218781,13.28027
43.316988468,12.02051
44.319231987,11.97168
45.319001198,13.50195
46.318769455,12.55078
47.318538666,13.14355
48.318306923,12.84668
49.318075180,12.06934
50.317843437,12.84668
51.317611218,12.72363
52.317379475,13.9082
53.317147732,13.45215
54.316915512,13.43945
55.319158554,11.9209
56.318926334,13.2666
57.318693638,12.9082
58.318461418,13.29102
59.318229199,13.2666
60.317997456,12.71094
61.317765236,12.9707
62.317533016,14.11816
63.317300320,14.41406
64.317068100,12.77246
65.319310665,14.01953
66.319077969,13.66113
68.318613529,13.93262
69.318381310,12.32813
70.318148613,14.17969
71.317916393,13.20508
72.317684174,13.64941
73.317451954,13.46387
74.317219734,14.2168
75.316987038,12.45215
76.319230080,14.05664
77.318998337,14.93262
78.318766117,14.5625
79.318534374,14.69824
80.318302631,13.89648
81.318071365,12.55078
82.317839623,12.17969
83.317607403,13.5
84.317375660,13.2041
85.317143917,12.94531
86.316911697,13.45117
88.318922997,13.34082
89.318691254,12.82227
90.318459988,13.45215
91.318228722,13.87109
92.317996979,14.53809
93.317765713,14.46387
94.317534924,13.64941
95.317303658,14.22949
96.317072868,14.14355
97.316841602,13.55078
98.319086075,14.03223
99.318855286,13.82324
100.318624973,14.46484
101.318394661,15.29199
102.318164349,14.39063
103.317934036,14.84766
104.317704201,14.51465
105.317474365,14.07129
106.317244053,14.83594
107.317014694,14.36719
108.316784859,13.92285
109.319030285,13.63867
110.318800926,14.20703
111.318571091,13.28125
112.318342209,14.66309
113.318112373,13.92285
114.317883492,14.07129
115.317654610,15.3916
116.317425728,13.63965
117.317195892,13.28027
118.316967011,13.3916
119.316737175,13.00879
120.318982601,13.25586
121.318753243,13.20703
122.318523407,12.24316
123.318294048,13.08203
124.318063259,12.48926
125.317833901,13.36621
126.317603588,13.05762
127.317373753,13.62598
128.317143440,12.05859
129.316913605,13.76172
130.316683292,13.28027
131.318927765,11.77441
132.318697929,12.89746
134.318237305,13.4043
135.318007946,14.0957
136.317777634,12.02148
137.317547321,13.97168
138.317317486,13.58887
139.317087174,12.14453
140.316857338,12.23145
141.316627026,12.16992
142.318871975,13.68848
143.318642616,13.7373
