Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
228.737701416,42.892,32.414
229.736116409,42.928,32.414
230.737053871,42.932,32.414
231.737990379,42.916,32.416
232.736406326,42.892,32.416
233.737342834,42.908,32.416
234.735758781,42.896,32.416
235.736696243,42.91,32.416
236.737633228,42.952,32.416
237.736049175,42.944,32.416
238.736986637,42.91,32.418
239.737923622,42.92,32.418
240.736340523,42.926,32.418
241.737278461,42.906,32.418
242.735694408,42.928,32.418
243.736631870,42.896,32.418
244.737569809,42.93,32.418
245.735985756,42.922,32.418
246.736923695,42.93,32.418
247.737861633,42.928,32.42
248.736278534,42.916,32.42
249.737215519,42.942,32.42
250.735632420,42.944,32.42
251.736569881,42.94,32.42
252.737507820,42.96,32.42
253.735924721,42.938,32.42
254.736861706,42.964,32.42
255.737799644,42.916,32.42
256.736216545,42.968,32.42
257.737154484,42.944,32.42
258.735570908,42.924,32.422
259.736508846,42.95,32.422
260.737446785,43.004,32.422
261.735863209,42.944,32.422
262.736801624,42.962,32.422
263.737739563,42.936,32.422
264.736156464,42.948,32.422
265.737094879,42.898,32.424
266.735511303,42.948,32.424
267.736450195,42.928,32.424
268.737388611,42.968,32.424
269.735805988,43.012,32.424
270.736744404,43.02,32.424
271.737683296,42.962,32.426
272.736100197,42.996,32.426
273.737039089,42.956,32.426
274.735455990,42.97,32.428
